Id;HasCombiActivities;Restriction;IdEvent;IdLocation;MaxCapacity;Id;Name;IdActivity;IdEventLocation;Id;Name
2069;0;NULL;1102;1;NULL;2285;NULL;68;2069;68;knutselen met puzzelstukjes
2070;0;NULL;1102;2;NULL;2286;NULL;22;2070;22;batik
2070;0;NULL;1102;2;NULL;2287;NULL;10;2070;10;lino, strijkkralen
2071;0;NULL;1102;3;NULL;2288;NULL;24;2071;24;sieraden
2072;0;NULL;1102;8;NULL;2289;NULL;5;2072;5;papier maché
2073;0;NULL;1102;23;NULL;2290;NULL;29;2073;29;weven
2074;0;NULL;1102;5;NULL;2291;NULL;49;2074;49;borduren
2075;0;NULL;1102;59;NULL;2292;NULL;67;2075;67;golfkarton en papier
2076;0;NULL;1102;58;NULL;2293;NULL;4;2076;4;klei
2077;0;NULL;1102;70;NULL;2294;NULL;27;2077;27;vilten
2078;0;NULL;1102;62;NULL;2295;NULL;16;2078;16;krijt, verf, ecoline
2079;0;NULL;1102;22;NULL;2296;NULL;1;2079;1;constructies
2080;0;NULL;1102;13;12;2297;NULL;3;2080;3;hout
